iter	Logloss
0	0.6730953007
1	0.653349129
2	0.6350024156
3	0.619390165
4	0.6046913502
5	0.5919584872
6	0.5798961628
7	0.5683918717
8	0.5580154822
9	0.5485022217
10	0.5394102706
11	0.5303262094
12	0.5232725354
13	0.5160873773
14	0.5091031256
15	0.5026260647
16	0.4967000947
17	0.4918394445
18	0.4862576388
19	0.481008806
20	0.4758171108
21	0.4715869888
22	0.4670558277
23	0.4611842281
24	0.4573157578
25	0.4461322666
26	0.4433447451
27	0.4386252469
28	0.4356196808
29	0.4279030181
30	0.4235010542
31	0.420093566
32	0.4161395405
33	0.4143962079
34	0.4117454839
35	0.4061930648
36	0.404078382
37	0.4010670609
38	0.399186646
39	0.3951600285
40	0.3879322178
41	0.386020825
42	0.3802306075
43	0.3779970764
44	0.3740048128
45	0.3719000858
46	0.3672873081
47	0.3657391192
48	0.3642744152
49	0.3627470515
50	0.361808028
51	0.3585039907
52	0.357082493
53	0.3562308656
54	0.3542973709
55	0.3518685245
56	0.3487477383
57	0.3439066357
58	0.3416939134
59	0.3406061198
60	0.3364590566
61	0.3351406213
62	0.3338896697
63	0.3321888888
64	0.3286624929
65	0.3275519262
66	0.3240854773
67	0.3231559301
68	0.322307229
69	0.3217143297
70	0.3207594862
71	0.3191924603
72	0.3179218376
73	0.3156543579
74	0.3149054641
75	0.3137473067
76	0.3132312609
77	0.3128341386
78	0.3123671515
79	0.3118754114
80	0.310913131
81	0.3105772457
82	0.3097643142
83	0.3091250392
84	0.3087380789
85	0.3084186154
86	0.3066631438
87	0.3043276827
88	0.3015301531
89	0.3010089579
90	0.3000664121
91	0.2996427234
92	0.2989177168
93	0.2983401006
94	0.2972373621
95	0.2967825655
96	0.2960268923
97	0.2952232905
98	0.2947427918
99	0.2944067869
100	0.2941110013
101	0.293867842
102	0.2929925069
103	0.2927324522
104	0.291934171
105	0.291475258
106	0.2906204942
107	0.2899482009
108	0.2893151724
109	0.2890221276
110	0.288517419
111	0.2883373487
112	0.2881042806
113	0.2876676039
114	0.2872500939
115	0.2867930514
116	0.2862687947
117	0.2860687949
118	0.2856177967
119	0.2853065495
120	0.2846294598
121	0.2832291949
122	0.2828721226
123	0.2825101307
124	0.2817333237
125	0.2812848651
126	0.2811106693
127	0.2805792224
128	0.2797238699
129	0.2793642681
130	0.2787803657
131	0.2785845817
132	0.2783499928
133	0.2781390247
134	0.2777878112
135	0.2773544925
136	0.2771768144
137	0.2766191008
138	0.2761276435
139	0.2755904001
140	0.2752491914
141	0.274537169
142	0.2742565021
143	0.2739595378
144	0.2716320687
145	0.2714426191
146	0.2709014908
147	0.2707408815
148	0.2702088022
149	0.2685277606
150	0.2681358993
151	0.2680272954
152	0.2678752205
153	0.2676598977
154	0.2675151495
155	0.267432399
156	0.2669760651
157	0.2668538195
158	0.2664485079
159	0.2661993548
160	0.265853913
161	0.2655184397
162	0.2652637429
163	0.2648803594
164	0.2647313318
165	0.264419192
166	0.2641488479
167	0.2640231236
168	0.2638471253
169	0.2636871116
170	0.2634176147
171	0.2631707506
172	0.2630400644
173	0.2628775441
174	0.2627301486
175	0.2624327567
176	0.262132974
177	0.2620281072
178	0.2613084713
179	0.2612043734
180	0.2611256098
181	0.2610354565
182	0.2608886469
183	0.2605414963
184	0.2601589104
185	0.2600642799
186	0.2599740825
187	0.2597302649
188	0.2596256125
189	0.2594087874
190	0.2590849773
191	0.258980436
192	0.2587880154
193	0.2586885251
194	0.2585339594
195	0.2583388193
196	0.2582119188
197	0.2579864661
198	0.2578516664
199	0.2577823674
200	0.2576624897
201	0.257541109
202	0.2574763418
203	0.2574056422
204	0.2572392865
205	0.2570449294
206	0.2569331501
207	0.2567930701
208	0.2566196823
209	0.25631895
210	0.2561556659
211	0.2557998327
212	0.2557459725
213	0.25549859
214	0.2550527026
215	0.2549540834
216	0.2548651271
217	0.2547874534
218	0.2545655984
219	0.2543194287
220	0.2539602932
221	0.2538835062
222	0.2537702744
223	0.2536813629
224	0.2535831541
225	0.2533318469
226	0.2532372017
227	0.2530140972
228	0.2528558347
229	0.2527827775
230	0.252600996
231	0.2525197312
232	0.2524271926
233	0.2522769818
234	0.2521424246
235	0.2518488308
236	0.251340377
237	0.2512692003
238	0.2509255409
239	0.2507130598
240	0.2506195266
241	0.2504898945
242	0.2504192318
243	0.2500941783
244	0.24996554
245	0.2497554575
246	0.2495113014
247	0.2493621795
248	0.2492865661
249	0.249051696
250	0.2489558314
251	0.2488584827
252	0.2486109031
253	0.2483966557
254	0.2483053246
255	0.2482205747
256	0.2481373505
257	0.248047247
258	0.2479271909
259	0.2478494592
260	0.247542671
261	0.2474764647
262	0.2471548703
263	0.2469670828
264	0.246861176
265	0.2467783399
266	0.2467060203
267	0.2466152157
268	0.2465417251
269	0.2464665755
270	0.2463508404
271	0.2461258629
272	0.2459609206
273	0.2458871195
274	0.2458282993
275	0.2454953219
276	0.2454202658
277	0.2453375733
278	0.2452714991
279	0.2451783809
280	0.2448634106
281	0.2447010076
282	0.2445302422
283	0.24428494
284	0.2442226319
285	0.2440791676
286	0.2440157288
287	0.2439501993
288	0.2438922482
289	0.243828366
290	0.2437274884
291	0.2436617572
292	0.2435478331
293	0.2434459881
294	0.2433417725
295	0.243221347
296	0.2431335677
297	0.2430325419
298	0.2429182046
299	0.242804967
300	0.2427058018
301	0.2423645284
302	0.2423114913
303	0.2421014162
304	0.2420012362
305	0.2419365734
306	0.2414428895
307	0.2413799356
308	0.2412989133
309	0.2410985673
310	0.2410153638
311	0.2409220847
312	0.2408461842
313	0.2406199432
314	0.2401851088
315	0.2401029062
316	0.2398554068
317	0.2397917593
318	0.2394807841
319	0.2393979305
320	0.2392158099
321	0.2391555242
322	0.238964383
323	0.2389055974
324	0.2388363406
325	0.2386663509
326	0.2385999654
327	0.2384442437
328	0.2383879009
329	0.2383210396
