iter	Passed	Remaining
0	108	270130
1	145	181389
2	190	158574
3	229	143367
4	264	131757
5	299	124310
6	335	119554
7	371	115713
8	408	113157
9	451	112365
10	486	110103
11	521	108115
12	554	106020
13	592	105168
14	640	106039
15	677	105126
16	711	103958
17	745	102823
18	780	101930
19	814	101006
20	855	100984
21	895	100878
22	929	100077
23	963	99414
24	999	98980
25	1039	98873
26	1075	98525
27	1117	98655
28	1150	98030
29	1188	97861
30	1222	97343
31	1258	97099
32	1300	97217
33	1334	96793
34	1369	96427
35	1401	95951
36	1437	95718
37	1471	95355
38	1511	95403
39	1548	95212
40	1585	95086
41	1618	94739
42	1652	94444
43	1685	94056
44	1720	93880
45	1763	94073
46	1795	93731
47	1831	93541
48	1875	93793
49	1922	94224
50	1971	94689
51	2005	94419
52	2038	94120
53	2070	93790
54	2103	93525
55	2144	93599
56	2182	93555
57	2219	93445
58	2253	93248
59	2285	92963
60	2323	92911
61	2361	92852
62	2401	92897
63	2438	92801
64	2477	92811
65	2511	92639
66	2546	92479
67	2587	92535
68	2620	92342
69	2651	92041
70	2682	91787
71	2717	91648
72	2752	91510
73	2794	91608
74	2830	91506
75	2862	91304
76	2895	91114
77	2924	90824
78	2960	90737
79	2993	90548
80	3033	90597
81	3066	90416
82	3098	90236
83	3133	90138
84	3172	90150
85	3205	89970
86	3240	89883
87	3282	89972
88	3319	89919
89	3351	89733
90	3384	89584
91	3419	89510
92	3458	89512
93	3488	89301
94	3520	89117
95	3554	89000
96	3589	88929
97	3620	88731
98	3652	88585
99	3693	88648
100	3727	88530
101	3763	88480
102	3808	88625
103	3851	88731
104	3897	88906
105	3931	88787
106	3963	88644
107	3996	88520
108	4031	88434
109	4065	88329
110	4096	88176
111	4149	88476
112	4184	88383
113	4218	88288
114	4252	88192
115	4286	88086
116	4316	87908
117	4350	87823
118	4386	87767
119	4418	87634
120	4456	87616
121	4500	87724
122	4546	87854
123	4586	87878
124	4622	87833
125	4656	87729
126	4686	87573
127	4717	87422
128	4752	87344
129	4785	87251
130	4822	87217
131	4854	87087
132	4888	87004
133	4921	86895
134	4957	86843
135	4993	86800
136	5028	86737
137	5061	86628
138	5096	86559
139	5129	86476
140	5168	86478
141	5208	86497
142	5244	86446
143	5278	86366
144	5315	86326
145	5347	86215
146	5380	86116
147	5415	86056
148	5453	86044
